img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_8126540PALFrontccc.jpg,LEGO Batman 2: DC Super Heroes,PSV,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,0.37,0.16,,0.13,0.08,2012-06-26,2018-03-15
/games/boxart/full_7912087AmericaFrontccc.jpg,Resident Evil: Origins Collection,PS4,Action-Adventure,Capcom,Capcom,,0.37,0.07,0.07,0.18,0.05,2016-01-19,2018-09-04
/games/boxart/full_3966228AmericaFrontccc.jpg,Major League Baseball 2K6,X360,Sports,2K Sports,Kush Games,6.3,0.37,0.34,,,0.03,2006-04-10,
/games/boxart/8795022ccc.jpg,NBA Inside Drive 2002,XB,Sports,Microsoft,High Voltage Software,,0.37,0.28,,0.08,0.01,2002-01-21,
/games/boxart/full_cabelas-big-game-hunter-2012_486AmericaFront.jpg,Cabela's Big Game Hunter 2012,Wii,Sports,Activision,Activision,,0.37,0.33,,0.02,0.02,2011-09-27,
/games/boxart/full_6390282AmericaFrontccc.jpg,Reel Fishing III,PS2,Sports,Natsume,Natsume,,0.37,0.18,,0.14,0.05,2003-09-11,
/games/boxart/full_4219697PALFrontccc.jpg,Middle-Earth: Shadow of Mordor,PC,Action,Warner Bros. Interactive Entertainment,Monolith Productions,,0.37,0.14,,0.2,0.03,2014-09-30,2018-05-04
/games/boxart/7868824ccc.jpg,Spider-Man: Friend or Foe,PS2,Action,Activision,Next Level Games,5.4,0.37,0.31,,0.01,0.05,2007-10-02,
/games/boxart/6442314ccc.jpg,Pac-Man World 2,GC,Platform,Namco,Namco,7.5,0.37,0.28,,0.07,0.01,2002-03-19,
/games/boxart/full_the-legend-of-spyro-a-new-beginning_911AmericaFront.jpg,The Legend of Spyro: A New Beginning,DS,Platform,Sierra Entertainment,Amaze Entertainment,7.1,0.37,0.33,,0.01,0.03,2006-10-17,
/games/boxart/4697419ccc.jpg,The Legend of Spyro: The Eternal Night,DS,Platform,Sierra Entertainment,Amaze Entertainment,,0.37,0.32,,0.02,0.03,2007-10-02,
/games/boxart/full_556920AmericaFrontccc.jpg,Sonic Lost World,WiiU,Platform,Sega,Sonic Team,6,0.37,0.2,0.01,0.13,0.03,2013-10-29,2018-04-07
/games/boxart/full_5245960AmericaFrontccc.jpg,Castlevania: Order of Ecclesia,DS,Platform,Konami,Konami,8.2,0.37,0.27,0.04,0.03,0.03,2008-10-21,
/games/boxart/full_9338477AmericaFrontccc.jpg,"Monsters, Inc. Scream Arena",GC,Platform,THQ,Radical Entertainment,3.8,0.37,0.29,,0.07,0.01,2002-09-14,
/games/boxart/full_slime-morimori-dragon-quest-shougeki-no-shippo-dan_366JapanFront.jpg,Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,Adventure,Square Enix,TOSE Software,,0.37,,0.36,,0.01,2003-11-14,
/games/boxart/5619714ccc.jpg,Harry Potter and the Order of the Phoenix,PSP,Adventure,Electronic Arts,EA UK,4.8,0.37,0.1,,0.17,0.1,2007-06-25,
/games/boxart/full_5231178AmericaFrontccc.jpg,Rise of the Tomb Raider,X360,Adventure,Square Enix,Crystal Dynamics,,0.37,0.21,,0.12,0.03,2015-11-10,2018-04-11
/games/boxart/full_999-9-hours-9-people-9-doors_1AmericaFront.jpg,"999: Nine Hours, Nine Persons, Nine Doors",DS,Adventure,Aksys Games,Spike,7.9,0.37,0.31,0.03,,0.02,2010-11-16,
/games/boxart/full_5889144JapanFrontccc.jpg,Super Robot Taisen EX,SNES,Strategy,Banpresto,WinkySoft,,0.37,,0.37,,,1994-03-25,
/games/boxart/full_fushigi-no-dungeon-furai-no-shiren-2-oni-shuurai-shiren-shiro_0JapanFront.jpg,Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,N64,Role-Playing,ChunSoft,ChunSoft,,0.37,,0.32,,0.05,2000-09-27,
/games/boxart/full_9593289AmericaFrontccc.png,Shin Megami Tensei IV: Apocalypse,3DS,Role-Playing,Atlus,Atlus,8.1,0.37,0.15,0.16,0.05,0.02,2016-09-20,2018-05-29
/games/boxart/full_5316488AmericaFrontccc.jpg,Vampyr,PS4,Role-Playing,Focus Home Interactive,DONTNOD Entertainment,,0.37,0.12,,0.19,0.06,2018-06-05,2018-02-08
/games/boxart/full_dungeon-siege-iii_808AmericaFront.jpg,Dungeon Siege III,X360,Role-Playing,Square Enix,Obsidian Entertainment,7.2,0.37,0.21,0.01,0.12,0.03,2011-06-21,
/games/boxart/full_9497260AmericaFrontccc.jpg,Rune Factory: Frontier,Wii,Role-Playing,Xseed Games,Neverland Company,7.9,0.37,0.16,0.04,0.13,0.03,2009-03-17,
/games/boxart/full_6218092AmericaFrontccc.png,Defiance,PS3,Action,Trion Worlds,Trion Worlds,,0.37,0.19,,0.12,0.06,2013-04-02,2018-05-19
/games/boxart/7329621ccc.jpg,Tomb Raider: Legend,X360,Action,Eidos Interactive,Crystal Dynamics,8.1,0.37,0.27,0.01,0.07,0.03,2006-04-11,
/games/boxart/full_8625218AmericaFrontccc.jpg,Mini Ninjas,Wii,Action,Eidos Interactive,IO Interactive,7.6,0.37,0.16,,0.17,0.04,2009-09-08,
/games/boxart/default.jpg,Warriors Orochi 2,PS3,Action,Tecmo Koei,Omega Force,,0.37,,0.37,,,2012-03-20,2018-04-24
/games/boxart/full_5415805AmericaFrontccc.jpg,Ultimate Spider-Man,GC,Action,Activision,Treyarch,,0.37,0.29,,0.07,0.01,2005-09-21,
/games/boxart/full_83060AmericaFrontccc.jpg,Prince of Persia: The Forgotten Sands,PSP,Action,Ubisoft,Quebec City,,0.37,0.09,0.01,0.18,0.1,2010-05-18,
/games/boxart/8290624ccc.jpg,Rampage: Total Destruction,PS2,Action,Midway Games,"Pipeworks Software, Inc.",,0.37,0.18,,0.14,0.05,2006-04-24,
/games/boxart/full_6466603AmericaFrontccc.jpg,Dynasty Warriors 9,PS4,Action,Tecmo Koei,Omega Force,,0.37,0.1,0.17,0.06,0.03,2018-02-13,2017-12-31
/games/boxart/full_6243073AmericaFrontccc.jpg,Fragile Dreams: Farewell Ruins of the Moon,Wii,Role-Playing,Xseed Games,Tri-Crescendo,6.7,0.37,0.16,0.06,0.12,0.03,2010-03-16,
/games/boxart/full_55514JapanFrontccc.jpg,Shin Megami Tensei II,SNES,Role-Playing,Atlus,Atlus Co.,,0.37,,0.37,,0,1994-04-18,
/games/boxart/7324046ccc.jpg,Marvel: Ultimate Alliance,PSP,Role-Playing,Activision,Vicarious Visions,8.5,0.37,0.33,,0,0.03,2006-10-24,
/games/boxart/3769811ccc.jpg,Dragonfire,2600,Action,Imagic,Imagic,,0.37,0.35,,0.02,0,1982-01-01,
/games/boxart/full_8708226AmericaFrontccc.jpg,Yakuza: Kiwami 2,PS4,Action,Sega,Sega,,0.37,0.08,0.19,0.06,0.03,2018-08-28,2018-01-07
/games/boxart/full_6224369AmericaFrontccc.jpg,Petz: Catz 2,PS2,Simulation,Ubisoft,Yuke's Media Creations,,0.37,0.18,,0.14,0.05,2007-11-14,
/games/boxart/full_9483063AmericaFrontccc.jpg,Imagine: Salon Stylist,DS,Simulation,Ubisoft,Playbox Limited,,0.37,0.23,,0.11,0.03,2009-09-29,
/games/boxart/full_3051768AmericaFrontccc.jpg,Hell's Kitchen: The Game,DS,Simulation,Ubisoft,Ludia Inc.,,0.37,0.34,,0,0.03,2008-09-09,
/games/boxart/full_1577541AmericaFrontccc.jpg,The Golden Compass,PSP,Adventure,Sega,Shiny Entertainment,2.8,0.37,0.11,,0.16,0.1,2007-12-04,
/games/boxart/full_699516AmericaFrontccc.jpg,Petz Rescue: Ocean Patrol,DS,Adventure,Ubisoft,Magic Pockets,,0.37,0.35,,,0.03,2008-10-28,
/games/boxart/full_1967957AmericaFrontccc.jpg,Kileak: The DNA Imperative,PS,Shooter,Sony Computer Entertainment,Genki,,0.37,0.08,0.21,0.06,0.02,1995-01-01,
/games/boxart/6598021ccc.jpg,Quake 4,X360,Shooter,Activision,id Software / Raven Software,7.3,0.37,0.32,,0.02,0.03,2005-11-18,
/games/boxart/8378725ccc.jpg,Panzer Dragoon,SAT,Shooter,Sega,Team Andromeda,,0.37,,0.37,,,1995-05-11,
/games/boxart/1030713ccc.jpg,Turok: Rage Wars,N64,Shooter,Acclaim Entertainment,Acclaim Studios Austin,,0.37,0.3,,0.06,0,1999-11-23,
/games/boxart/full_rage_76AmericaFront.jpg,Rage,PC,Shooter,Bethesda Softworks,id Software,7.8,0.37,0.14,,0.18,0.05,2011-10-04,
/games/boxart/full_the-house-of-the-dead-overkill-extended-cut_133AmericaFront.jpg,The House of the Dead: Overkill - Extended Cut,PS3,Shooter,Sega,Headstrong Games,7.2,0.37,0.15,,0.16,0.05,2011-10-25,
/games/boxart/full_5809157AmericaFrontccc.jpg,Wanted: Weapons of Fate,X360,Shooter,Warner Bros. Interactive,GRIN,6.2,0.37,0.17,0,0.15,0.04,2009-03-24,
/games/boxart/3703037ccc.jpg,Solaris,2600,Shooter,Atari,Atari,,0.37,0.35,,0.02,0,1986-07-13,
/games/boxart/full_9986454AmericaFrontccc.jpg,Life is Strange,PS4,Adventure,Square Enix,DONTNOD Entertainment,,0.37,0.11,0.05,0.16,0.05,2016-01-19,2018-01-07
/games/boxart/full_2806043AmericaFrontccc.jpg,ESPN X Games Skateboarding,PS2,Sports,Konami,Konami Computer Entertainment Osaka,,0.36,0.18,,0.14,0.05,2001-08-13,
/games/boxart/full_one-piece-gigant-battle_10PALFront.jpg,One Piece: Gigant Battle!,DS,Fighting,Namco Bandai,Ganbarion,,0.36,,0.36,,,2010-09-09,
/games/boxart/full_919423AmericaFrontccc.jpg,BlazBlue: Calamity Trigger,X360,Fighting,Aksys Games,Arc System Works,8.5,0.36,0.21,0.04,0.08,0.03,2009-06-30,
/games/boxart/full_4674171AmericaFrontccc.jpg,Dragon Ball Z: Infinite World,PS2,Fighting,Atari,Dimps Corporation,,0.36,0.08,0.21,0.06,0.02,2008-11-04,
/games/boxart/97071ccc.jpg,My Horse & Me,DS,Sports,Atari,Mistic Software,,0.36,0.33,,0,0.03,2008-02-05,
/games/boxart/2214197ccc.jpg,Big Bass World Championship,PS,Sports,Hot-B,Unknown,,0.36,0.2,,0.14,0.02,1997-03-27,
/games/boxart/445373ccc.jpg,Rapala Pro Fishing,PS2,Sports,Activision,Sand Grain Studios,,0.36,0.18,,0.14,0.05,2004-08-31,
/games/boxart/full_6690639AmericaFrontccc.jpg,Tiger Woods PGA Tour 14,X360,Sports,EA Sports,EA Tiburon,,0.36,0.21,,0.12,0.03,2013-03-26,2018-10-16
/games/boxart/full_2780618JapanFrontccc.jpg,J-League Pro Soccer Club o Tsukurou '04,PS2,Sports,Sega,Smilebit,,0.36,,0.36,,,2004-06-24,
/games/boxart/full_1937965AmericaFrontccc.jpg,NHL 2K10,PS2,Sports,2K Sports,Visual Concepts,,0.36,0.17,,0.14,0.05,2009-09-15,
/games/boxart/full_8182511JapanFrontccc.jpg,J-League Pro Soccer Club o Tsukurou!,DC,Sports,Sega,Smilebit,,0.36,,0.36,,0,1999-09-30,
/games/boxart/full_3433895AmericaFrontccc.jpg,Sniper: Ghost Warrior 3,PS4,Shooter,City Interactive,City Interactive,,0.36,0.14,0.03,0.15,0.06,2017-04-25,2018-05-29
/games/boxart/full_3774577AmericaFrontccc.jpg,Left 4 Dead 2,PC,Shooter,Valve,Certain Affinity / Valve Software,9,0.36,,,0.32,0.04,2009-11-17,
/games/boxart/full_3005818AmericaFrontccc.jpg,Earth Defense Force 2025,PS3,Shooter,D3Publisher,Sandlot,,0.36,0.04,0.27,0.03,0.01,2014-02-18,2018-10-16
